{'accuracy': 0.8233333333333334, 'conicity_mean': '0.19319116', 'conicity_std': '0.025816355', 'entropy_mean': '0.012844678', 'entropy_std': '0.00706413'}
{'accuracy': 0.818, 'conicity_mean': '0.19319962', 'conicity_std': '0.02573147', 'entropy_mean': '0.0128331855', 'entropy_std': '0.007083519'}
{'accuracy': 0.8193333333333334, 'conicity_mean': '0.19337298', 'conicity_std': '0.025788117', 'entropy_mean': '0.012622287', 'entropy_std': '0.007050046'}
{'accuracy': 0.822, 'conicity_mean': '0.19328173', 'conicity_std': '0.025799198', 'entropy_mean': '0.012561559', 'entropy_std': '0.006996121'}
{'accuracy': 0.82, 'conicity_mean': '0.19335012', 'conicity_std': '0.02580516', 'entropy_mean': '0.012427813', 'entropy_std': '0.0070208185'}
{'accuracy': 0.822, 'conicity_mean': '0.19336572', 'conicity_std': '0.025770577', 'entropy_mean': '0.012349129', 'entropy_std': '0.0070022666'}
{'accuracy': 0.8193333333333334, 'conicity_mean': '0.19340043', 'conicity_std': '0.025764791', 'entropy_mean': '0.012297451', 'entropy_std': '0.0070077'}
{'accuracy': 0.8206666666666667, 'conicity_mean': '0.19340417', 'conicity_std': '0.025774792', 'entropy_mean': '0.012122157', 'entropy_std': '0.00698749'}
{'accuracy': 0.8233333333333334, 'conicity_mean': '0.19344966', 'conicity_std': '0.025766857', 'entropy_mean': '0.012088145', 'entropy_std': '0.00696404'}
{'accuracy': 0.8226666666666667, 'conicity_mean': '0.19343878', 'conicity_std': '0.025749112', 'entropy_mean': '0.012021995', 'entropy_std': '0.0069700642'}
{'accuracy': 0.822, 'conicity_mean': '0.19348706', 'conicity_std': '0.025764327', 'entropy_mean': '0.011926979', 'entropy_std': '0.006973312'}
{'accuracy': 0.8226666666666667, 'conicity_mean': '0.19355923', 'conicity_std': '0.025766931', 'entropy_mean': '0.011844686', 'entropy_std': '0.006952052'}
{'accuracy': 0.8226666666666667, 'conicity_mean': '0.19355138', 'conicity_std': '0.025753368', 'entropy_mean': '0.011781031', 'entropy_std': '0.006944836'}
{'accuracy': 0.8233333333333334, 'conicity_mean': '0.19360901', 'conicity_std': '0.02575255', 'entropy_mean': '0.011755885', 'entropy_std': '0.006935224'}
{'accuracy': 0.8226666666666667, 'conicity_mean': '0.19363737', 'conicity_std': '0.025761137', 'entropy_mean': '0.011680509', 'entropy_std': '0.0069235167'}
{'accuracy': 0.8233333333333334, 'conicity_mean': '0.19367088', 'conicity_std': '0.02574915', 'entropy_mean': '0.011650444', 'entropy_std': '0.0069092177'}
{'accuracy': 0.822, 'conicity_mean': '0.19365582', 'conicity_std': '0.025737442', 'entropy_mean': '0.011595681', 'entropy_std': '0.006901108'}
{'accuracy': 0.822, 'conicity_mean': '0.19370589', 'conicity_std': '0.025748976', 'entropy_mean': '0.011540694', 'entropy_std': '0.006888851'}
{'accuracy': 0.8213333333333334, 'conicity_mean': '0.19373743', 'conicity_std': '0.025743049', 'entropy_mean': '0.011486914', 'entropy_std': '0.006880929'}
{'accuracy': 0.8206666666666667, 'conicity_mean': '0.1937481', 'conicity_std': '0.02573288', 'entropy_mean': '0.011476812', 'entropy_std': '0.006890318'}
{'accuracy': 0.8206666666666667, 'conicity_mean': '0.19378875', 'conicity_std': '0.025764765', 'entropy_mean': '0.011409661', 'entropy_std': '0.006873506'}
{'accuracy': 0.8213333333333334, 'conicity_mean': '0.19381946', 'conicity_std': '0.02574302', 'entropy_mean': '0.011355772', 'entropy_std': '0.006872973'}
{'accuracy': 0.82, 'conicity_mean': '0.19383952', 'conicity_std': '0.025750527', 'entropy_mean': '0.011301693', 'entropy_std': '0.0068614045'}
{'accuracy': 0.82, 'conicity_mean': '0.19389442', 'conicity_std': '0.025732437', 'entropy_mean': '0.01127283', 'entropy_std': '0.006862651'}
{'accuracy': 0.822, 'conicity_mean': '0.19388153', 'conicity_std': '0.025729457', 'entropy_mean': '0.011240948', 'entropy_std': '0.006854907'}
{'accuracy': 0.82, 'conicity_mean': '0.19393152', 'conicity_std': '0.025723219', 'entropy_mean': '0.011212095', 'entropy_std': '0.0068602203'}
{'accuracy': 0.8206666666666667, 'conicity_mean': '0.19394772', 'conicity_std': '0.025746025', 'entropy_mean': '0.011157631', 'entropy_std': '0.006845551'}
{'accuracy': 0.8186666666666667, 'conicity_mean': '0.19396651', 'conicity_std': '0.02573729', 'entropy_mean': '0.011139839', 'entropy_std': '0.006844847'}
{'accuracy': 0.8193333333333334, 'conicity_mean': '0.19400327', 'conicity_std': '0.025743512', 'entropy_mean': '0.0110676335', 'entropy_std': '0.0068414793'}
{'accuracy': 0.8186666666666667, 'conicity_mean': '0.19402502', 'conicity_std': '0.025724936', 'entropy_mean': '0.011068522', 'entropy_std': '0.006847289'}
{'accuracy': 0.8193333333333334, 'conicity_mean': '0.19404885', 'conicity_std': '0.025742613', 'entropy_mean': '0.010991285', 'entropy_std': '0.006836127'}
{'accuracy': 0.8166666666666667, 'conicity_mean': '0.19408838', 'conicity_std': '0.0257072', 'entropy_mean': '0.011007407', 'entropy_std': '0.0068377485'}
{'accuracy': 0.818, 'conicity_mean': '0.19408883', 'conicity_std': '0.025742847', 'entropy_mean': '0.01091921', 'entropy_std': '0.006814854'}
{'accuracy': 0.8166666666666667, 'conicity_mean': '0.1941306', 'conicity_std': '0.025701337', 'entropy_mean': '0.010985103', 'entropy_std': '0.006835233'}
{'accuracy': 0.8193333333333334, 'conicity_mean': '0.19410473', 'conicity_std': '0.025729539', 'entropy_mean': '0.010914283', 'entropy_std': '0.0068172663'}
{'accuracy': 0.818, 'conicity_mean': '0.19418298', 'conicity_std': '0.025713744', 'entropy_mean': '0.010931162', 'entropy_std': '0.006821817'}
{'accuracy': 0.8166666666666667, 'conicity_mean': '0.19417372', 'conicity_std': '0.025744114', 'entropy_mean': '0.010831752', 'entropy_std': '0.0068098702'}
{'accuracy': 0.816, 'conicity_mean': '0.19420858', 'conicity_std': '0.0256711', 'entropy_mean': '0.0109134875', 'entropy_std': '0.0068324534'}
{'accuracy': 0.8173333333333334, 'conicity_mean': '0.1942328', 'conicity_std': '0.025723102', 'entropy_mean': '0.010786517', 'entropy_std': '0.0067991624'}
{'accuracy': 0.8153333333333334, 'conicity_mean': '0.19425346', 'conicity_std': '0.025706174', 'entropy_mean': '0.010807378', 'entropy_std': '0.0068142572'}
{'accuracy': 0.8166666666666667, 'conicity_mean': '0.19424431', 'conicity_std': '0.025706928', 'entropy_mean': '0.010796509', 'entropy_std': '0.0068067596'}
{'accuracy': 0.816, 'conicity_mean': '0.19426684', 'conicity_std': '0.025689099', 'entropy_mean': '0.010727987', 'entropy_std': '0.006812254'}
{'accuracy': 0.8153333333333334, 'conicity_mean': '0.19427726', 'conicity_std': '0.025701033', 'entropy_mean': '0.010719243', 'entropy_std': '0.0068080947'}
{'accuracy': 0.816, 'conicity_mean': '0.19431429', 'conicity_std': '0.025699386', 'entropy_mean': '0.010720514', 'entropy_std': '0.006805269'}
{'accuracy': 0.814, 'conicity_mean': '0.19431311', 'conicity_std': '0.025680246', 'entropy_mean': '0.010670967', 'entropy_std': '0.0067986324'}
{'accuracy': 0.8146666666666667, 'conicity_mean': '0.1943508', 'conicity_std': '0.025697391', 'entropy_mean': '0.010655397', 'entropy_std': '0.006802109'}
{'accuracy': 0.814, 'conicity_mean': '0.19434942', 'conicity_std': '0.025677215', 'entropy_mean': '0.010629617', 'entropy_std': '0.0068117916'}
{'accuracy': 0.814, 'conicity_mean': '0.19438367', 'conicity_std': '0.02569136', 'entropy_mean': '0.010587859', 'entropy_std': '0.0068082567'}
{'accuracy': 0.814, 'conicity_mean': '0.19439545', 'conicity_std': '0.025675489', 'entropy_mean': '0.01063027', 'entropy_std': '0.0068050073'}
{'accuracy': 0.814, 'conicity_mean': '0.19441557', 'conicity_std': '0.02569097', 'entropy_mean': '0.01062396', 'entropy_std': '0.0067973505'}
{'accuracy': 0.8133333333333334, 'conicity_mean': '0.19443536', 'conicity_std': '0.025680613', 'entropy_mean': '0.010570488', 'entropy_std': '0.0067968257'}
{'accuracy': 0.8126666666666666, 'conicity_mean': '0.19445634', 'conicity_std': '0.025675677', 'entropy_mean': '0.010576261', 'entropy_std': '0.0068001198'}
{'accuracy': 0.812, 'conicity_mean': '0.1944849', 'conicity_std': '0.025672767', 'entropy_mean': '0.0105820885', 'entropy_std': '0.0068091704'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19452333', 'conicity_std': '0.025658594', 'entropy_mean': '0.010570126', 'entropy_std': '0.006802112'}
{'accuracy': 0.8093333333333333, 'conicity_mean': '0.19457217', 'conicity_std': '0.025675522', 'entropy_mean': '0.010512539', 'entropy_std': '0.0067942403'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19457926', 'conicity_std': '0.025657106', 'entropy_mean': '0.010529719', 'entropy_std': '0.006794916'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19459961', 'conicity_std': '0.025651574', 'entropy_mean': '0.010506901', 'entropy_std': '0.0067996574'}
{'accuracy': 0.81, 'conicity_mean': '0.19461088', 'conicity_std': '0.025657095', 'entropy_mean': '0.0104805045', 'entropy_std': '0.0067927856'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19463554', 'conicity_std': '0.025655752', 'entropy_mean': '0.010488802', 'entropy_std': '0.0067931'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19463196', 'conicity_std': '0.025661556', 'entropy_mean': '0.01043379', 'entropy_std': '0.006789754'}
{'accuracy': 0.81, 'conicity_mean': '0.19465137', 'conicity_std': '0.025661692', 'entropy_mean': '0.010405388', 'entropy_std': '0.006785931'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19465357', 'conicity_std': '0.0256514', 'entropy_mean': '0.010404631', 'entropy_std': '0.006787127'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19465517', 'conicity_std': '0.02566631', 'entropy_mean': '0.010407181', 'entropy_std': '0.0067873294'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19467184', 'conicity_std': '0.025653161', 'entropy_mean': '0.010396679', 'entropy_std': '0.006788574'}
{'accuracy': 0.81, 'conicity_mean': '0.1946986', 'conicity_std': '0.025680384', 'entropy_mean': '0.010356005', 'entropy_std': '0.006779276'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19470456', 'conicity_std': '0.02565741', 'entropy_mean': '0.010382274', 'entropy_std': '0.006790257'}
{'accuracy': 0.812, 'conicity_mean': '0.19470191', 'conicity_std': '0.02565652', 'entropy_mean': '0.010339596', 'entropy_std': '0.0067858147'}
{'accuracy': 0.812, 'conicity_mean': '0.19472833', 'conicity_std': '0.025654988', 'entropy_mean': '0.010337211', 'entropy_std': '0.006786308'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.1947076', 'conicity_std': '0.025644755', 'entropy_mean': '0.010343025', 'entropy_std': '0.006785192'}
{'accuracy': 0.81, 'conicity_mean': '0.19476429', 'conicity_std': '0.025648758', 'entropy_mean': '0.010329386', 'entropy_std': '0.0067901406'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19471665', 'conicity_std': '0.025648339', 'entropy_mean': '0.010345716', 'entropy_std': '0.0067801243'}
{'accuracy': 0.8126666666666666, 'conicity_mean': '0.19472836', 'conicity_std': '0.025664724', 'entropy_mean': '0.0103086345', 'entropy_std': '0.0067820367'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19477448', 'conicity_std': '0.025649974', 'entropy_mean': '0.010306379', 'entropy_std': '0.006780555'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.1947976', 'conicity_std': '0.025652314', 'entropy_mean': '0.010314291', 'entropy_std': '0.0067861564'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19478586', 'conicity_std': '0.025649749', 'entropy_mean': '0.01028038', 'entropy_std': '0.0067796083'}
